Time,X,Y,Z
2024-02-21_143334,0.0000794645,0.0005277687,0.0003921828
2024-02-21_143334,0.0003826493,0.0002623938,0.0001480443
2024-02-21_143334,0.0000655103,0.0003338523,0.0006151665
2024-02-21_143334,0.0000632568,0.0003325269,0.0005132449
2024-02-21_143334,0.0002888894,0.0004354105,0.0004907032
2024-02-21_143334,0.0003016667,0.0001662293,0.0002732258
2024-02-21_143334,0.0002598357,0.0003164656,0.0001947179
2024-02-21_143334,0.0000891297,0.0001158133,0.0002136867
2024-02-21_143334,0.0001908423,0.0002812165,0.0004959423
2024-02-21_143334,0.0001567383,0.0001074837,0.0002095624
2024-02-21_143334,0.0002173669,0.0004757908,0.0003072999
2024-02-21_143334,0.0004102835,0.0000836007,0.0003051996
2024-02-21_143334,0.0001271152,0.0005774640,0.0007630188
2024-02-21_143334,0.0001479809,0.0002362568,0.0005860542
2024-02-21_143334,0.0000577649,0.0001507203,0.0002198751
2024-02-21_143334,0.0002387140,0.0001120724,0.0007365626
2024-02-21_143334,0.0003685330,0.0002660481,0.0003512313
2024-02-21_143334,0.0002117490,0.0002967168,0.0002526958
2024-02-21_143334,0.0001086649,0.0001668023,0.0003068678
2024-02-21_143334,0.0001828486,0.0000813600,0.0005003562
2024-02-21_143334,0.0000991795,0.0003216808,0.0004253180
2024-02-21_143334,0.0004403925,0.0001107774,0.0004890778
2024-02-21_143334,0.0000968083,0.0004222980,0.0006874666
2024-02-21_143334,0.0003151137,0.0003790774,0.0003483640
2024-02-21_143334,0.0003593809,0.0003258454,0.0003345552
2024-02-21_143334,0.0001061083,0.0003729832,0.0005921928
2024-02-21_143334,0.0000774619,0.0001588083,0.0005352857
2024-02-21_143334,0.0001536604,0.0002713571,0.0007960666
2024-02-21_143334,0.0002538425,0.0001580119,0.0001318943
2024-02-21_143334,0.0001044631,0.0003341305,0.0006276605
2024-02-21_143334,0.0003049764,0.0001499651,0.0003372245
2024-02-21_143334,0.0003949566,0.0001444815,0.0002906238
2024-02-21_143334,0.0000821074,0.0001840666,0.0007268275
2024-02-21_143334,0.0001060411,0.0000748878,0.0002613459
2024-02-21_143334,0.0000357394,0.0001782505,0.0007685610
2024-02-21_143334,0.0003380839,0.0001362925,0.0002363862
2024-02-21_143334,0.0000770865,0.0001683563,0.0004154337
2024-02-21_143334,0.0002973952,0.0005136418,0.0003670763
2024-02-21_143334,0.0002190983,0.0002518732,0.0001461427
2024-02-21_143334,0.0002972198,0.0004221024,0.0005136121
2024-02-21_143334,0.0001947183,0.0001229414,0.0003117676
2024-02-21_143334,0.0002119129,0.0001525972,0.0004442744
2024-02-21_143334,0.0001396904,0.0005682323,0.0003064617
2024-02-21_143334,0.0002610812,0.0003984985,0.0009803017
2024-02-21_143334,0.0001604321,0.0002663346,0.0002246067
2024-02-21_143334,0.0001227313,0.0002613049,0.0001927019
2024-02-21_143334,0.0001936891,0.0004088084,0.0006877605
2024-02-21_143334,0.0003216069,0.0002267349,0.0000567395
2024-02-21_143334,0.0000925804,0.0002638959,0.0001245556
2024-02-21_143334,0.0002706011,0.0001885795,0.0004674068
2024-02-21_143334,0.0002795248,0.0002704993,0.0003010495
2024-02-21_143334,0.0000575587,0.0003123281,0.0001585244
2024-02-21_143334,0.0001903571,0.0001155454,0.0004921464
2024-02-21_143334,0.0002007643,0.0004794967,0.0002172629
2024-02-21_143334,0.0005285731,0.0004636346,0.0003852663
2024-02-21_143334,0.0002043643,0.0001325576,0.0002591330
2024-02-21_143334,0.0003721260,0.0002860183,0.0001091416
2024-02-21_143334,0.0003775329,0.0003044040,0.0005017752
2024-02-21_143334,0.0001243628,0.0005029151,0.0004995856
2024-02-21_143334,0.0001614888,0.0002046007,0.0003080508
2024-02-21_143334,0.0002272859,0.0003470203,0.0005614761
2024-02-21_143334,0.0002222459,0.0002712813,0.0003388926
2024-02-21_143334,0.0001345668,0.0002000792,0.0004193263
2024-02-21_143334,0.0003153350,0.0003180746,0.0007324626
2024-02-21_143334,0.0000679374,0.0004064709,0.0004636240
2024-02-21_143334,0.0001140952,0.0004015580,0.0004061095
2024-02-21_143334,0.0001553272,0.0003084546,0.0005686501
2024-02-21_143334,0.0003259392,0.0001505177,0.0002524762
2024-02-21_143334,0.0002093562,0.0003736645,0.0003479062
2024-02-21_143334,0.0001632816,0.0001699455,0.0001831817
2024-02-21_143334,0.0000512957,0.0001959549,0.0002411936
2024-02-21_143334,0.0000759584,0.0000930896,0.0004794195
2024-02-21_143334,0.0002695318,0.0002574545,0.0008586822
2024-02-21_143334,0.0001265200,0.0000462348,0.0002230516
2024-02-21_143334,0.0000754800,0.0003170078,0.0004586043
2024-02-21_143334,0.0003270969,0.0001900044,0.0005862170
2024-02-21_143334,0.0002435540,0.0001742458,0.0004611688
2024-02-21_143334,0.0005328394,0.0003606352,0.0003977458
2024-02-21_143334,0.0001029871,0.0004499287,0.0003672506
2024-02-21_143334,0.0003201116,0.0003129357,0.0004007306
2024-02-21_143334,0.0001067397,0.0001735084,0.0002834764
2024-02-21_143334,0.0002862143,0.0002324766,0.0003098845
2024-02-21_143334,0.0001582262,0.0003294772,0.0001851422
2024-02-21_143334,0.0001801906,0.0002317778,0.0002601939
2024-02-21_143334,0.0001278110,0.0003668982,0.0002532209
2024-02-21_143334,0.0001993370,0.0001340539,0.0005847328
2024-02-21_143334,0.0002450994,0.0003291909,0.0004736057
2024-02-21_143334,0.0002231450,0.0001699065,0.0005105734
2024-02-21_143334,0.0001173561,0.0002561391,0.0003535613
2024-02-21_143334,0.0004465027,0.0002133820,0.0010254936
2024-02-21_143334,0.0000919639,0.0002190719,0.0005668279
2024-02-21_143334,0.0002576648,0.0001430475,0.0002520770
2024-02-21_143334,0.0004858706,0.0002329731,0.0006419760
2024-02-21_143334,0.0002346708,0.0004415471,0.0002854313
2024-02-21_143334,0.0000384748,0.0001209932,0.0002639392
2024-02-21_143334,0.0001099736,0.0000975337,0.0003048655
2024-02-21_143334,0.0002305163,0.0003783113,0.0004231439
2024-02-21_143334,0.0001864647,0.0002841439,0.0007746097
